,Date,Transaction Description,Category,Amount
0,2020-01-02,Score each.,Food,1485.69
1,2020-01-02,Quality throughout.,Utilities,1475.58
2,2020-01-04,Instead ahead despite measure ago.,Rent,1185.08
3,2020-01-05,Information last everything thank serve.,Investment,2291.0
4,2020-01-13,Future choice whatever from.,Food,1126.88
5,2020-01-14,Benefit suggest page southern.,Shopping,448.68
6,2020-01-18,By two bad fall pick.,Food,1520.03
7,2020-01-19,Court attorney product significant world.,Other,3287.0
8,2020-01-21,Herself law.,Other,1914.85
9,2020-01-25,Have decide environment.,Rent,766.06
10,2020-01-25,Play move each left establish.,Health,1211.41
12,2020-01-29,Source husband.,Shopping,166.81
13,2020-01-30,Tree note responsibility.,Health,1158.93
14,2020-01-31,How trip learn enter.,Food,1325.91
15,2020-01-31,Much section investment on gun.,Rent,1712.08
16,2020-01-31,Management sense technology check civil.,Shopping,563.17
17,2020-02-02,As high you more wife.,Health,333.68
18,2020-02-04,Race mr.,Travel,1406.62
19,2020-02-05,Born itself law west.,Rent,1222.17
20,2020-02-05,Seven medical blood personal.,Investment,1838.0
21,2020-02-07,Current hear claim well two.,Travel,1979.15
22,2020-02-07,Food affect upon these story.,Other,1372.38
23,2020-02-08,Around there water.,Food,465.81
24,2020-02-08,Staff within mouth call.,Other,3786.0
25,2020-02-09,Close month parent who up.,Other,1827.14
26,2020-02-11,Human public health.,Health,433.13
28,2020-02-15,Detail audience piece director town.,Other,4009.0
29,2020-02-16,Method everything.,Shopping,730.37
30,2020-02-16,Much rich think.,Utilities,1023.96
31,2020-02-18,Drug list imagine behind.,Investment,1398.0
32,2020-02-19,Interest level rock pull.,Investment,3958.0
33,2020-02-20,I fund.,Shopping,769.42
34,2020-02-26,Court movie cell.,Travel,1942.45
35,2020-02-27,Leg themselves away.,Food,1363.76
36,2020-02-28,Anything yourself.,Other,3286.0
37,2020-02-28,Unit support.,Other,1795.0
38,2020-02-29,Magazine degree husband around.,Travel,1944.06
39,2020-03-03,World enter.,Rent,1742.33
