,Date,Amount,Type,Normalized_Amount,dataset
0,2020-01-02,1485.69,Expense,0.2953491126398388,0
1,2020-01-02,1475.58,Expense,0.29331965641767854,0
2,2020-01-04,1185.08,Expense,0.235005409875884,0
3,2020-01-05,2291.0,Income,0.4570050365041161,0
4,2020-01-13,1126.88,Expense,0.2233224868165641,0
5,2020-01-14,448.68,Expense,0.08718230779885298,0
6,2020-01-18,1520.03,Expense,0.3022424387198568,0
7,2020-01-19,3287.0,Income,0.6569395960759832,0
8,2020-01-21,1914.85,Expense,0.38149762226419864,0
9,2020-01-25,766.06,Expense,0.15089237859897262,0
10,2020-01-25,1211.41,Expense,0.24029082850392344,0
11,2020-01-26,1077.09,Expense,0.21332776621306682,0
12,2020-01-29,166.81,Expense,0.030600425964995393,0
13,2020-01-30,1158.93,Expense,0.22975612399957446,0
14,2020-01-31,1325.91,Expense,0.26327527335430373,0
15,2020-01-31,1712.08,Expense,0.34079407744051643,0
16,2020-01-31,563.17,Expense,0.11016474527413717,0
17,2020-02-02,333.68,Expense,0.06409749419366753,0
18,2020-02-04,1406.62,Expense,0.2794767977549517,0
19,2020-02-05,1222.17,Expense,0.24245076410733035,0
20,2020-02-05,1838.0,Income,0.3660709446506465,0
21,2020-02-07,1979.15,Expense,0.3944050441321415,0
22,2020-02-07,1372.38,Expense,0.27260354542589477,0
23,2020-02-08,3786.0,Income,0.757107613371527,0
24,2020-02-08,465.81,Expense,0.09062094133847756,0
25,2020-02-09,1827.14,Expense,0.3638909352962786,0
26,2020-02-11,433.13,Expense,0.08406083952441269,0
27,2020-02-13,294.31,Expense,0.056194458440309694,0
28,2020-02-15,4009.0,Income,0.8018720780146258,0
29,2020-02-16,730.37,Expense,0.14372805688098073,0
30,2020-02-16,1023.96,Expense,0.20266258232747114,0
31,2020-02-18,1398.0,Income,0.27774644042211083,0
32,2020-02-19,3958.0,Income,0.7916344650245,0
33,2020-02-20,769.42,Expense,0.15156685663126324,0
34,2020-02-26,1942.45,Expense,0.3870379775294432,0
35,2020-02-27,1363.76,Expense,0.2708731880930539,0
36,2020-02-28,3286.0,Income,0.6567388585663728,0
37,2020-02-28,1795.0,Income,0.3574392317374032,0
38,2020-02-29,1944.06,Expense,0.3873611649199158,0
39,2020-03-03,1742.33,Expense,0.3468663871062283,0
40,2020-03-04,314.15,Expense,0.06017709063097821,0
41,2020-03-04,1201.9,Expense,0.23838181478752943,0
42,2020-03-09,1858.91,Expense,0.37026836597659807,0
43,2020-03-09,486.51,Expense,0.09477620778741094,0
44,2020-03-11,180.45,Expense,0.03333848559607999,0
45,2020-03-11,1956.19,Expense,0.38979611091148886,0
46,2020-03-12,537.46,Expense,0.10500378390205616,0
47,2020-03-12,265.5,Expense,0.05041121078843672,0
48,2020-03-14,1929.08,Expense,0.38435411702595335,0
49,2020-03-15,1428.77,Expense,0.28392313359282,0
50,2020-03-18,881.82,Expense,0.17412975271146192,0
51,2020-03-21,503.33,Expense,0.09815261269905633,0
52,2020-03-23,2385.0,Income,0.4758743624074851,0
53,2020-03-23,151.28,Expense,0.027482972440747305,0
54,2020-03-24,144.13,Expense,0.0260476992470336,0
55,2020-03-28,1080.0,Income,0.21391191236603282,0
56,2020-04-01,1341.27,Expense,0.26635860150191804,0
57,2020-04-05,1449.47,Expense,0.28807840004175345,0
58,2020-04-06,388.92,Expense,0.07518623422454096,0
59,2020-04-06,493.56,Expense,0.09619140723016362,0
60,2020-04-10,3402.0,Income,0.6800244096811686,0
61,2020-04-17,1729.04,Expense,0.3441985856035073,0
62,2020-04-17,996.0,Income,0.19704996155876692,0
63,2020-04-18,1603.18,Expense,0.3189337626439539,0
64,2020-04-22,2058.0,Income,0.4102331967649143,0
65,2020-04-23,849.54,Expense,0.16764994590124116,0
